AC,CB,G,Pour Density,Surface Area,Dry Conductivity,Voltage Drop,Cell Resistance,Electrolyte Uptake,Water Uptake,Max Current,Capacity
33.33,33.33,33.33,0.519219391,49.06176,0.143558219,0.136633194,0.227773094,24.14122137,27.63772176,2.389666667,0.19
60,20,20,0.568148837,70.9936,0.070558555,0.153036538,0.264677043,27.07692308,31.55021834,2.421333333,0.05
15,43,42,0.486514186,34.05926,0.25517103,0.070354065,0.052773401,20.80717489,20.9486166,5.057666667,0.325
28,27,45,0.494264884,43.4688,0.281012587,0.062397571,0.038777111,23.13691508,26.72253259,4.834,3.05
46,46,8,0.574642326,62.04164,0.16322722,0.107505529,0.127751366,26.47058824,26.89265537,2.581,0.275
38,8,54,0.488901395,49.80532,0.198188783,0.096910833,0.101230453,24.14664981,28.44611529,2.804666667,0.305
12,55,33,0.498784884,33.00704,0.582430397,0.063541667,0.04074828,22,21.8404908,4.153666667,4.465
13,22,65,0.445617209,29.4509,0.431932016,0.060736196,0.036039242,21.95918367,22.4916388,4.217666667,2.55
9,68,23,0.512747907,32.08954,0.276323551,0.064173797,0.040328345,23.12348668,25.82480091,3.688666667,2.48
80,5,15,0.596345349,86.7652,0.043787781,0.129700347,0.178632755,29.77346278,33.48571429,1.193666667,0
35,50,15,0.55194186,52.7947,0.215602961,0.073001587,0.052932087,26.25,26.70454545,3.286,1.775
38,24,38,0.515978605,51.96084,0.166500392,0.096485806,0.096350933,25.36231884,26.89530686,2.08,0.09
6,78,16,0.521633953,30.76788,0.797519662,0.037338189,0.013389162,20.54507338,22.36095346,9.694666667,6.6575
7,88,5,0.541236279,33.0047,0.947690089,0.037693235,0.013677932,19.84231275,21.88328912,8.504333333,9.3125
4,60,36,0.485813953,26.56368,1.248831252,0.048609312,0.024249958,19.68680089,23.06079665,7.496,7.85
16,32,52,0.470577674,33.46696,0.57219607,0.061738861,0.03866904,21.20805369,22.73730684,5.404,3.175
26,46,28,0.52106093,44.24924,0.326878777,0.093955053,0.09912941,22.66065389,31.15124153,2.103333333,1.21
70,15,15,0.586477907,79.2162,0.068915048,0.131445208,0.18182386,28.24074074,32.41706161,1.493333333,0.07
60,10,30,0.551225581,69.6464,0.10922822,0.111333741,0.136193765,26.6064257,29.09090909,1.549,0
25,7,68,0.452381163,38.10554,0.297051661,0.081583786,0.07258126,22.66380236,27.44886975,2.748333333,2.36
50,32,18,0.561666047,63.71404,0.179882801,0.117704762,0.153790433,24.18235877,24.055666,1.523333333,0.075
50,18,32,0.537973488,61.82796,0.142248486,0.111908571,0.142259107,25.5489022,27.65151515,2.088333333,0.1375
18,72,10,0.543628837,40.635,0.88974448,0.038219575,0.01783098,21.01313321,21.09090909,7.669333333,8.595
13,12,75,0.428693953,28.1037,0.435523323,0.056735977,0.032839853,19.74333662,22.3671013,5.008333333,2.6925
81,15,4,0.615947674,89.00202,0.026984995,0.326947917,0.918967514,31.01736973,34.48673587,0.518666667,0
65,30,5,0.598467442,76.7889,0.070698588,0.128820581,0.186074957,27.35381566,26.94552529,1.463,0.05
30,60,10,0.555469767,49.6938,0.378806446,0.065201576,0.046889337,21.20559742,19.22330097,3.094,2.21
39,39,22,0.544042558,54.87126,0.243819366,0.088486868,0.082864874,21.93927522,20.97560976,2.027666667,0.135
6,7,87,0.401478837,21.20276,0.553907602,0.071794201,0.057082866,22.22222222,21.80595581,3.66,3.295
54,5,41,0.526689535,63.63508,0.097019189,0.122130278,0.162332641,27.50601443,26.5625,1.607333333,0.22
3,36,61,0.44251907,22.44078,0.732222787,0.05856738,0.035648086,19.00684932,19.31914894,5.224666667,4.7725
30,70,0,0.572393023,51.041,0.632911924,0.063062133,0.046823975,20.9664848,19.38046068,2.980666667,7.525
100,0,0,0.641465116,103.884,0.018843742,0.317475833,0.858940745,32.77182236,37.3502994,0.667333333,0
0,100,0,0.542790698,28.394,1.150285708,0.021428684,0.006516919,20,22.13570634,11.4665,7.1125
0,0,100,0.37355814,14.922,0.424388502,0.107722639,0.186966994,21.85273159,27.67605634,3.436666667,1.6575
0,50,50,0.458174419,21.658,0.990469739,0.079674569,0.089486005,16.60859466,16.95652174,3.274666667,2.53
20,60,20,0.52867907,40.7976,0.716875287,0.068522885,0.059028697,18.52248394,18.19066148,3.284666667,4.3025
22,20,58,0.466344186,37.18804,0.379107025,0.094140172,0.099811665,22.69573835,20,2.165333333,1.0975
0,70,30,0.49202093,24.3524,1.689218093,0.033098645,0.010729716,17.28045326,16.46811493,11.8665,10.055
0,30,70,0.424327907,18.9636,1.049428723,0.047930155,0.032177563,17.90935673,16.84470008,6.668,6.8925
